id,name,latitude,longitude,sector,subsector,assetType,sourceType,year,ch4_emissions,co2e_20yr_emissions,pm2_5_emissions,wte_class,waste_type,how_used,energy_generated,needed_hardware,wte_score,wte_confidence,wte_reason,second_best_wte_class,second_best_wte_score,classification_note
447831,Shoubra El-Kheima power plant,30.1243,31.2373,power,electricity-generation,"gas, oil",point-source,2026,0.0,515000.0,9.7,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",103.67,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,70.936,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
450005,Nubaria power plant,30.6993,30.6671,power,electricity-generation,"gas, other_fossil",point-source,2026,0.0,537700.0,6.74,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",103.586,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,70.869,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
447815,Walidia power station,27.2123,31.1608,power,electricity-generation,"gas, oil",point-source,2026,0.0,510900.0,9.0,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",103.577,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,70.861,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
732013,"Sidi Kerir Petrochemicals, Alexandria",31.002004,29.845145,manufacturing,petrochemical-steam-cracking,Natural Gas Liquids,point-source,2026,168.50025,66041.7316916666,3.519746196666665,Pyrolysis,Plastic Waste,Sorted plastic is heated in low/no oxygen and vapors are condensed.,Synthetic oil + gas + process heat,"Sorting line, reactor, condenser, oil tank, safety PLC",103.569,Medium,Petrochemical/plastic-related source; Manufacturing source,Waste Recovery / RDF,100.712,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
451746,North Giza power plant,30.2483,30.9471,power,electricity-generation,"gas, other_fossil",point-source,2026,0.0,534700.0,6.74,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",103.549,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,70.839,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
447816,Ataka Steam power plant,29.9361,32.4716,power,electricity-generation,gas,point-source,2026,0.0,474000.0,10.37,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",103.521,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,70.816,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
451954,6 October power plant,30.0538,31.0464,power,electricity-generation,"gas, other_fossil",point-source,2026,0.0,446700.0,8.26,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",103.221,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,70.577,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
452167,West Damietta power plant,31.4429,31.6047,power,electricity-generation,"gas, other_fossil",point-source,2026,0.0,420900.0,7.86,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",103.015,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,70.412,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
447822,Damietta power plant,31.3811,31.7237,power,electricity-generation,"gas, other_fossil",point-source,2026,0.0,374200.0,5.800000000000001,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",102.715,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,70.172,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
453085,El-Shabab power station,30.4653,31.9234,power,electricity-generation,"gas, other_fossil",point-source,2026,0.0,380400.0,5.09,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",102.622,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,70.097,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
447834,Talkha power plant,31.062,31.3926,power,electricity-generation,"gas, other_fossil",point-source,2026,0.0,349900.0,5.48,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",102.603,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,70.082,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
450377,Cairo North power plant,30.1082,31.2663,power,electricity-generation,"gas, other_fossil",point-source,2026,0.0,356500.0,4.49,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",102.416,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,69.933,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
447825,El-Tebeen power plant,29.7755,31.2982,power,electricity-generation,"gas, oil",point-source,2026,0.0,286100.0,5.39,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",102.416,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,69.933,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
25452744,Port Said East power plant,31.0995,32.5202,power,electricity-generation,gas,point-source,2026,0.0,278900.0,5.26,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",102.36,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,69.888,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
25452743,Suez Gulf power plant,29.6189,32.353,power,electricity-generation,gas,point-source,2026,0.0,278900.0,5.26,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",102.36,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,69.888,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
25455046,Suez power plant,29.9512,32.5036,power,electricity-generation,gas,point-source,2026,0.0,265600.0,5.0,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",102.191,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,69.753,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
25450617,Oyoun Mousa Gas power plant,29.9115,32.5948,power,electricity-generation,gas,point-source,2026,0.0,261500.0,4.93,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",102.154,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,69.723,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
25450614,Abu Sultan power plant,30.4027,32.3087,power,electricity-generation,gas,point-source,2026,0.0,245200.0,4.62,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",102.097,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,69.678,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
45257029,Abu Qir Fertilizer Complex,31.271681,30.096651,manufacturing,chemicals,ammonia,point-source,2026,0.0,591097.2894469086,0.0,Pyrolysis,Plastic Waste,Sorted plastic is heated in low/no oxygen and vapors are condensed.,Synthetic oil + gas + process heat,"Sorting line, reactor, condenser, oil tank, safety PLC",102.094,Medium,Petrochemical/plastic-related source; Manufacturing source,Waste Recovery / RDF,98.867,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
45257062,Damietta Fertilizers Complex,31.4629882,31.7799027,manufacturing,chemicals,ammonia,point-source,2026,0.0,537361.1722244625,0.0,Pyrolysis,Plastic Waste,Sorted plastic is heated in low/no oxygen and vapors are condensed.,Synthetic oil + gas + process heat,"Sorting line, reactor, condenser, oil tank, safety PLC",102.064,Medium,Petrochemical/plastic-related source; Manufacturing source,Waste Recovery / RDF,98.83,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
25450627,Hurghada,27.1489,33.8177,power,electricity-generation,"gas, oil",point-source,2026,0.0,127040.0,7.88,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",101.854,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,69.483,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
447828,Mahmoudia power plant,31.1747,30.5294,power,electricity-generation,"gas, other_fossil",point-source,2026,0.0,183270.0,3.78,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",101.807,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,69.446,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
447830,Sharm El-Sheikh power plant,27.8933,34.2794,power,electricity-generation,"gas, oil",point-source,2026,0.0,127210.0,7.21,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",101.798,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,69.438,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
447827,Kafr El-Dawar power plant,31.1293,30.1932,power,electricity-generation,gas,point-source,2026,0.0,179810.0,3.39,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",101.685,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,69.348,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
451055,El-Atf power plant,31.1851,30.5291,power,electricity-generation,"gas, other_fossil",point-source,2026,0.0,185900.0,2.38,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",101.61,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,69.288,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
452057,Banha power plant,30.4974,31.2234,power,electricity-generation,"gas, other_fossil",point-source,2026,0.0,178240.0,2.25,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",101.404,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,69.124,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
447821,Damanhour power plant,31.0819,30.4292,power,electricity-generation,"gas, other_fossil, oil",point-source,2026,0.0,159480.0,2.75,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",101.404,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,69.124,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
25450624,Arish power station,31.1156,33.6833,power,electricity-generation,"oil, gas",point-source,2026,0.0,104630.0,5.24,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",101.404,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,69.124,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
45257030,Alexandria Fertilizer Complex,31.272363,30.092262,manufacturing,chemicals,ammonia,point-source,2026,0.0,171619.72437918768,0.0,Pyrolysis,Plastic Waste,Sorted plastic is heated in low/no oxygen and vapors are condensed.,Synthetic oil + gas + process heat,"Sorting line, reactor, condenser, oil tank, safety PLC",100.835,Medium,Petrochemical/plastic-related source; Manufacturing source,Waste Recovery / RDF,97.294,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
45257105,Helwan Fertilizer Plant,29.7758725,31.3022137,manufacturing,chemicals,ammonia,point-source,2026,0.0,158432.88121279934,0.0,Pyrolysis,Plastic Waste,Sorted plastic is heated in low/no oxygen and vapors are condensed.,Synthetic oil + gas + process heat,"Sorting line, reactor, condenser, oil tank, safety PLC",100.73,Medium,Petrochemical/plastic-related source; Manufacturing source,Waste Recovery / RDF,97.163,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
45257033,Aswan Kima Fertilizer Complex,24.0611469,32.9161871,manufacturing,chemicals,ammonia,point-source,2026,0.0,138934.73107863474,0.0,Pyrolysis,Plastic Waste,Sorted plastic is heated in low/no oxygen and vapors are condensed.,Synthetic oil + gas + process heat,"Sorting line, reactor, condenser, oil tank, safety PLC",100.655,Medium,Petrochemical/plastic-related source; Manufacturing source,Waste Recovery / RDF,97.069,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
33999114,EGY-'Ataqah_methanol,29.5152729052742,32.2271765919496,manufacturing,chemicals,methanol,point-source,2026,0.0,112754.53770491804,0.0,Pyrolysis,Plastic Waste,Sorted plastic is heated in low/no oxygen and vapors are condensed.,Synthetic oil + gas + process heat,"Sorting line, reactor, condenser, oil tank, safety PLC",100.536,Medium,Petrochemical/plastic-related source; Manufacturing source,Waste Recovery / RDF,96.919,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
45257154,Nitrogenous Fertilizer Complex,29.9463098,32.4672762,manufacturing,chemicals,ammonia,point-source,2026,0.0,107472.23444489249,0.0,Pyrolysis,Plastic Waste,Sorted plastic is heated in low/no oxygen and vapors are condensed.,Synthetic oil + gas + process heat,"Sorting line, reactor, condenser, oil tank, safety PLC",100.491,Medium,Petrochemical/plastic-related source; Manufacturing source,Waste Recovery / RDF,96.863,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
25450634,El-Seiuf,31.2158,29.9953,power,electricity-generation,"gas, oil",point-source,2026,0.0,71440.0,1.795,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",100.375,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,68.3,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
25452836,Midor Refinery power plant,31.0276,29.7625,power,electricity-generation,gas,point-source,2026,0.0,65430.0,1.6439999999999997,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",100.281,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,68.225,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
447818,Cairo South power plant,29.8683,31.291,power,electricity-generation,"gas, other_fossil, oil",point-source,2026,0.0,75590.0,0.4939999999999999,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",100.243,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,68.195,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
49534292,Al Shalaq Power Plant,31.0726,34.1795,power,electricity-generation,gas,point-source,2026,0.0,57210.0,1.4369999999999998,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",100.225,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,68.18,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
33999165,EGY-New Damietta City_methanol,31.4994563767578,31.6698389992847,manufacturing,chemicals,methanol,point-source,2026,0.0,74030.7836065574,0.0,Pyrolysis,Plastic Waste,Sorted plastic is heated in low/no oxygen and vapors are condensed.,Synthetic oil + gas + process heat,"Sorting line, reactor, condenser, oil tank, safety PLC",100.146,Medium,Petrochemical/plastic-related source; Manufacturing source,Waste Recovery / RDF,96.433,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
25455578,Ethydco power station,31.018,29.835,power,electricity-generation,gas,point-source,2026,0.0,53640.0,1.348,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",99.944,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,67.955,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
452852,Assiut Mobile power plant,27.1768,31.2008,power,electricity-generation,oil,point-source,2026,0.0,17171.0,3.78,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",99.934,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,67.948,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
25453202,DAMIETTA TERMINAL,31.4694,31.7452,power,electricity-generation,gas,point-source,2026,0.0,44650.0,1.121,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",99.85,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,67.88,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
25450630,Wadi Hof,29.8757,31.3194,power,electricity-generation,gas,point-source,2026,0.0,35830.0,0.8999999999999999,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",99.757,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,67.805,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
450024,Kuriemat ISCC power plant,29.2775,31.2487,power,electricity-generation,"gas, other_fossil",point-source,2026,0.0,32910.0,0.3549999999999997,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",99.625,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,67.7,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
447835,El Ameriya Refinery power station,31.0022,29.8494,power,electricity-generation,"gas, other_fossil",point-source,2026,0.0,27200.0,0.3499999999999998,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",99.513,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,67.61,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
25453591,Marsa Matruh power station,31.3704,27.2044,power,electricity-generation,gas,point-source,2026,0.0,24520.0,0.4619999999999999,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",99.494,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,67.596,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
51758993,Samalut Mobile power plant,28.3132,30.7105,power,electricity-generation,oil,point-source,2026,0.0,8585.0,1.889,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",99.363,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,67.491,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
